priority,id,athleteName,sport,year,nationalityAsCurrentlyListed,personType,caseSourceUrl,sourceLocator,followupStatus,heldReason
19,usada-8eb48dbaf6e2,Morgan Millican,舉重,2020,美國,Athlete,https://www.usada.org/sanction/morgan-millican-accepts-doping-sanction/,U.S. Weightlifting Athlete Morgan Millican Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
20,usada-90621c3eb5e4,Susanne Williams,舉重,2020,美國,Athlete,https://www.usada.org/sanction/susanne-williams-accepts-doping-sanction/,U.S. Weightlifting Athlete Susanne Williams Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
21,usada-a54a0549888f,Matthew McCullough,舉重,2020,美國,Athlete,https://www.usada.org/sanction/matthew-mccullough-accepts-doping-sanction/,U.S. Weightlifting Athlete Matthew McCullough Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
22,usada-fd1d2cf8f708,Megan Munsell,舉重,2020,美國,Athlete,https://www.usada.org/sanction/megan-munsell-accepts-doping-sanction/,U.S. Weightlifting Athlete Megan Munsell Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
23,usada-496b0452d607,Robert Strange,舉重,2019,美國,Athlete,https://www.usada.org/sanction/robert-strange-accepts-doping-sanction/,U.S. Weightlifting Athlete Robert Strange Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
24,usada-5a1c3cf5b36f,Josue Cano,舉重,2019,美國,Athlete,https://www.usada.org/sanction/josue-cano-receives-doping-sanction/,U.S. Weightlifting Athlete Josue Cano Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
25,usada-5eac04b001f6,Addison Jones,舉重,2019,美國,Athlete,https://www.usada.org/sanction/addison-jones-accepts-doping-violation/,U.S. Weightlifting Athlete Addison Jones Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
26,usada-74510fc23e03,Darcie Warren,舉重,2019,美國,Athlete,https://www.usada.org/sanction/darcie-warren-receives-doping-sanction/,U.S. Weightlifting Athlete Darcie Warren Receives Sanction for Second Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
27,usada-75e40a8ec8cb,Mohamed Omar,舉重,2019,美國,Athlete,https://www.usada.org/sanction/mohamed-omar-receives-doping-sanction/,U.S. Weightlifting Athlete Mohamed Omar Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
28,usada-a504ae6790e5,Kaley Anderson,舉重,2019,美國,Athlete,https://www.usada.org/sanction/kaley-anderson-accept-doping-sanction/,U.S. Weightlifting Athlete Kaley Anderson Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
29,usada-ae780d447bf0,Janelle Shafer,舉重,2019,美國,Athlete,https://www.usada.org/sanction/janelle-shafer-accepts-doping-sanction/,U.S. Weightlifting Athlete Janelle Shafer Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
30,usada-b91273ba81fa,Angela Carlberg,舉重,2019,美國,Athlete,https://www.usada.org/sanction/angela-carlberg-accepts-public-warning/,U.S. Weightlifting Athlete Angela Carlberg Accepts Public Warning：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
31,usada-c88c72084b13,Rowdy Hurst,舉重,2019,美國,Athlete,https://www.usada.org/sanction/rowdy-hurst-receives-doping-sanction/,U.S. Weightlifting Athlete Rowdy Hurst Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
32,usada-ceba58fad888,Natalie Franklin,舉重,2019,美國,Athlete,https://www.usada.org/sanction/natalie-franklin-receives-doping-sanction/,U.S. Weightlifting Athlete Natalie Franklin Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
33,usada-d11c3ef3a336,Nicole Maynard,舉重,2019,美國,Athlete,https://www.usada.org/sanction/nicole-maynard-receives-doping-sanction/,U.S. Weightlifting Athlete Nicole Maynard Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
34,usada-d4f42cda7250,Mandy Mosley,舉重,2019,美國,Athlete,https://www.usada.org/sanction/mandy-mosely-accepts-doping-sanction/,U.S. Weightlifting Athlete Mandy Mosley Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
35,usada-faf9ebfb231f,Joe Sacklow,舉重,2019,美國,Athlete,https://www.usada.org/sanction/joe-sacklow-accepts-doping-sanction/,U.S. Weightlifting Athlete Joe Sacklow Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
36,usada-0f9636fca02d,Trevor Cuicchi,舉重,2018,美國,Athlete,https://www.usada.org/sanction/trevor-cuicchi-accepts-doping-sanction/,U.S. Weightlifting Athlete Trevor Cuicchi Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
37,usada-48d68f0e2e03,Ernest Prempeh,舉重,2018,美國,Athlete / Athlete Support Personnel,https://www.usada.org/sanction/ernest-prempeh-accepts-doping-sanction/,U.S. Weightlifting Athlete Ernest Prempeh Accepts Sanction for Anti-Doping Rule Violation：2019-05-07 原案公告：M3 檢體與四年期間、成績取消；U.S. Weightlifting Coaches Ernest Prempeh and Bernabe Chavez Accept Sanctions for Anti-Doping Rule Violation：2022-02-04 聯合公告：Prempeh 禁賽期間執教、追加四年、退休停算,not_in_previous_44,
38,usada-5e279c9e9968,Cameron Dudeck,舉重,2018,美國,Athlete,https://www.usada.org/sanction/cameron-dudeck-receives-doping-sanction/,U.S. Weightlifting Athlete Cameron Dudeck Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
39,usada-69dbcabe44bb,Joshua Gaskins,舉重,2018,美國,Athlete,https://www.usada.org/sanction/joshua-gaskins-receives-doping-sanction/,U.S. Weightlifting Athlete Joshua Gaskins Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
40,usada-6b18a7917171,Cheyenne Schenk,舉重,2018,美國,Athlete,https://www.usada.org/sanction/cheyenne-schenk-accepts-doping-sanction/,U.S. Weightlifting Athlete Cheyenne Schenk Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
41,usada-8bbe5698646b,Abby Raymond,舉重,2018,美國,Athlete,https://www.usada.org/sanction/abby-raymond-accepts-doping-sanction/,U.S. Weightlifting Athlete Abby Raymond Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
42,usada-9de5a5d1696d,Jessica Rivera,舉重,2018,美國,Athlete,https://www.usada.org/sanction/jessica-rivera-accepts-doping-sanction/,U.S. Weightlifting Athlete Jessica Rivera Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
43,usada-d148c75dad18,Robert Brown,舉重,2018,美國,Athlete,https://www.usada.org/sanction/robert-brown-accepts-doping-sanction/,U.S. Weightlifting Athlete Robert Brown Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
44,usada-e7f64638afe3,Taff Woolsey,舉重,2018,美國,Athlete,https://www.usada.org/sanction/taff-woolsey-accepts-doping-sanction/,U.S. Weightlifting Athlete Taff Woolsey Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
45,usada-ea963f8d28c3,Tiffany Parlor,舉重,2018,美國,Athlete,https://www.usada.org/sanction/tiffany-parlor-recieves-doping-violation/,U.S. Weightlifting Athlete Tiffany Parlor Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
46,usada-123713999e9c,Scott Glasgow,舉重,2017,美國,Athlete Support Personnel,https://www.usada.org/sanction/scott-glasgow-accepts-doping-sanction/,U.S. Weightlifting Athlete Scott Glasgow Accepts Four-Year Ban for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
47,usada-13a7b9335634,Amy Hay,舉重,2017,美國,Athlete,https://www.usada.org/sanction/aaa-panel-imposes-doping-sanction-amy-hay/,"AAA Panel Imposes Two-Year Sanction on Weightlifting Athlete Amy Hay for Doping Violation：2017-10-31 仲裁結果官方公告全部個案實質段落；U.S. Weightlifting Athlete, Amy Hay, Granted a Reduced Sanction：2019-12-16 減刑及退休復出公告全部實質段落",not_in_previous_44,
48,usada-1a29ad9ab5d6,Tam Nguyen,舉重,2017,美國,Athlete,https://www.usada.org/sanction/tam-nguyen-accepts-doping-sanction/,"U.S. Weightlifting Athlete, Tam Nguyen, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
49,usada-1b7ba3ce3c38,Frank Volrath,舉重,2017,美國,Athlete,https://www.usada.org/sanction/frank-volrath-accepts-doping-sanction/,U.S. Weightlifting Athlete Frank Volrath Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
50,usada-22983a4911f9,Emily Malinowski,舉重,2017,美國,Athlete,https://www.usada.org/sanction/emily-malinowski-accepts-doping-sanction/,U.S. Weightlifting Athlete Emily Malinowski Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
51,usada-3569c6e815d7,Alissandra Hipona,舉重,2017,美國,Athlete,https://www.usada.org/sanction/alissandra-hipona-accepts-doping-sanction/,U.S. Weightlifting Athlete Alissandra Hipona Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
52,usada-3d848274e422,Teresa Britt,舉重,2017,美國,Athlete,https://www.usada.org/sanction/teresa-britt-accepts-doping-sanction/,U.S. Weightlifting Athlete Teresa Britt Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
53,usada-5028b81a128b,Carlee Acevedo-Fuller,舉重,2017,美國,Athlete,https://www.usada.org/sanction/carlee-acevedo-fuller-accepts-doping-sanction/,"U.S. Weightlifting Athlete, Carlee Acevedo-Fuller, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
54,usada-74fda1ee0cc3,Miranda Merrell,舉重,2017,美國,Athlete,https://www.usada.org/sanction/miranda-merrell-accepts-doping-sanction/,U.S. Weightlifting Athlete Miranda Merrell Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
55,usada-7d929fe046a9,Megan Palicka,舉重,2017,美國,Athlete,https://www.usada.org/sanction/megan-palicka-accepts-doping-sanction/,U.S. Weightlifting Athlete Megan Palicka Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
56,usada-8b83386b3243,Alyssa Travis,舉重,2017,美國,Athlete,https://www.usada.org/sanction/alyssa-travis-accepts-doping-sanction/,U.S. Weightlifting Athlete Alyssa Travis Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
57,usada-901736ce5e01,Lazaro Roman,舉重,2017,美國,Athlete,https://www.usada.org/sanction/lazaro-roman-accepts-doping-sanction/,U.S. Weightlifting Athlete Lazaro Roman Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
58,usada-ab372572f1a9,Tyler Moore,舉重,2017,美國,Athlete,https://www.usada.org/sanction/tyler-moore-accepts-doping-sanction/,"U.S. Weightlifting Athlete, Tyler Moore, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
59,usada-bfeee80825b1,Kaitlyn Jarrett,舉重,2017,美國,Athlete,https://www.usada.org/sanction/kaitlyn-jarrett-accepts-doping-sanction/,U.S. Weightlifting Athlete Kaitlyn Jarrett Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
60,usada-e211d17e78b9,Lemuel Grayson,舉重,2017,美國,Athlete,https://www.usada.org/sanction/lemuel-grayson-accepts-public-warning/,U.S. Weightlifting Athlete Lemuel Grayson Accepts Public Warning：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
61,usada-f10f5acd5654,Zack Herbert,舉重,2017,美國,Athlete,https://www.usada.org/sanction/zack-herbert-accepts-doping-sanction/,"U.S. Weightlifting Athlete, Zack Herbert, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
62,usada-fc2334e2f733,Zachary Wuebben,舉重,2017,美國,Athlete,https://www.usada.org/sanction/zachary-wuebben-accepts-doping-sanction/,"U.S. Weightlifting Athlete, Zachary Wuebben, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
63,usada-005ef8b2c89f,Michael Nackoul,舉重,2016,美國,Athlete,https://www.usada.org/sanction/michael-nackoul-accepts-doping-sanction/,"U.S. Weightlifting Athlete, Michael Nackoul, Accepts Sanction for Non-Analytical Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
64,usada-35cf2f26656b,Nicole Moore,舉重,2016,美國,Athlete,https://www.usada.org/sanction/nicole-moore-accepts-doping-violation/,"U.S. Weightlifting Athlete, Moore, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
65,usada-3a2b44290235,Gabriel Dawson,舉重,2016,美國,Athlete,https://www.usada.org/sanction/gabriel-dawson-receives-doping-sanction/,"U.S. Weightlifting Athlete, Gabriel Dawson, Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
66,usada-3d04ba268799,Justin Glanville,舉重,2016,美國,Athlete,https://www.usada.org/sanction/justin-glanville-accepts-doping-sanction/,U.S. Weightlifting Athlete Justin Glanville Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
67,usada-47a780e34432,Crystal Riggs,舉重,2016,美國,Athlete,https://www.usada.org/sanction/crystal-riggs-accepts-doping-sanction/,"U.S. Weightlifting Athlete, Riggs, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
68,usada-5c49a520d9f7,David Bayer,舉重,2016,美國,Athlete,https://www.usada.org/sanction/david-bayer-accepts-doping-sanction/,"U.S. Weightlifting Athlete, David Bayer, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
69,usada-6f442259c6e3,Anthony McLaughlin,舉重,2016,美國,Athlete,https://www.usada.org/sanction/anthony-mclaughlin-receives-doping-sanction/,U.S. Weightlifting Athlete Anthony McLaughlin Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
70,usada-74c3aeb782a0,Jessica Denney Phillips,舉重,2016,美國,Athlete,https://www.usada.org/sanction/jessica-phillips-accepts-doping-sanction/,"U.S. Weightlifting Athlete, Phillips, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
71,usada-97da51a4cd91,Angelique Matsushima,舉重,2016,美國,Athlete,https://www.usada.org/sanction/angelique-matsushima-accepts-doping-sanction/,"U.S. Weightlifting Athlete, Matsushima, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
72,usada-a19d120a5a90,Brandon Reyes,舉重,2016,美國,Athlete,https://www.usada.org/sanction/brandon-reyes-accepts-doping-sanction/,"U.S. Weightlifting Athlete, Reyes, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
73,usada-a866a19663a5,Robert Kyle Dosterschill,舉重,2016,美國,Athlete,https://www.usada.org/sanction/robert-dosterschill-accepts-doping-sanction/,"U.S. Weightlifting Athlete, Robert Dosterschill, Accepts Sanction For Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
74,usada-e238095a79ab,Vincent Pierik,舉重,2016,美國,Athlete,https://www.usada.org/sanction/vincent-pierik-accepts-doping-sanction/,"U.S. Weightlifting Athlete, Pierik, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
75,usada-1359b69cc9a8,Joseph Roberto,舉重,2015,美國,Athlete,https://www.usada.org/sanction/roberto-receives-doping-sanction/,"US Weightlifting Athlete, Roberto, Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
76,usada-2a7f0468db54,Michael Zoda,舉重,2015,美國,Athlete,https://www.usada.org/sanction/michael-zoda-accepts-doping-sanction/,U.S. Weightlifting Athlete Michael Zoda Accepts Sanction for Non-Analytical Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
77,usada-5ba221c74afd,Chris Hyun Cho,舉重,2015,美國,Athlete,https://www.usada.org/sanction/hyun-cho-accepts-doping-saction/,"US Weightlifting Athlete, Cho, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
78,usada-64a436bacae4,Michael Gingras,舉重,2015,美國,Athlete Support Personnel,https://www.usada.org/sanction/michael-gingras-accepts-doping-sanction/,"U.S. Weightlifting Coach, Michael Gingras, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
79,usada-83915e97921c,Jeff Prusmack,舉重,2015,美國,Athlete,https://www.usada.org/sanction/jeff-prusmack-accepts-doping-sanction/,U.S. Weightlifting Athlete Jeff Prusmack Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
80,usada-a71a79541adf,Cicely Kyle,舉重,2015,美國,Athlete,https://www.usada.org/sanction/cicely-kyle-accepts-doping-sanction/,"US Weightlifting Athlete, Kyle, Accepts Sanction For Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
