batchId,name,nationality,disposition,caseType,outcome,notes,source
B01-13,"Bosah, Brenda Uchenna",Nigeria,accepted,物質相關違規／及早承認,3年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-weightlifter-brenda-uchenna-bosah-has-been-sanctioned-with-a-3-year-period-of-ineligibility/
B01-14,"Lin, Junhong",China,accepted,歷史檢體重新分析,4年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-rider-junhong-lin-has-accepted-a-4-year-period-of-ineligibility-for-her-anti-doping-rule-violation/
B01-15,"Bernal Sanchez, Mariana",Mexico,accepted,物質相關違規／名冊勘誤,3年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。；名冊結束年誤為 2025；ITA 公告與 World Archery 公告一致為 2028。,https://ita.sport/news/the-ita-reports-that-archer-mariana-bernal-sanchez-has-accepted-a-3-year-ban-for-her-anti-doping-rule-violation/
B01-16,"Sharma, Parveen",India,held,日期差異待查,不計入通過數、不加入網站,名冊的成績取消截止為 2025-05-08，個案公告的裁決及處分起日為 2026-05-08；未取得獨立裁決解決此差異。,https://ita.sport/news/the-ita-acknowledges-the-international-hearing-panel-decision-sanctioning-wushu-athlete-parveen-sharma/
B01-17,"Tegshjargal, Enkhtur",Mongolia,accepted,行蹤義務違規,2年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-boxer-enkhtur-tegshjargal-accepted-a-2-year-sanction-for-three-whereabouts-failures/
B01-18,"Yuksel, Batu Han",Türkiye,accepted,第二次違規／上訴駁回,8年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/court-of-arbitration-for-sport-confirms-eight-year-ban-imposed-on-turkish-weightlifter-batu-han-yuksel/
B01-19,"Jawkar, Prathamesh Samadhan",India,accepted,行蹤義務違規,2年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-archer-prathamesh-samadhan-jawkar-has-accepted-a-2-year-sanction-for-three-whereabouts-failures/
B01-20,"Kuzmin, Daniil",Russia,accepted,物質相關違規／及早承認,3年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-gymnast-daniil-kuzmin-has-been-sanctioned-with-a-3-year-period-of-ineligibility/
B01-21,"Urakova, Gulsevar",Uzbekistan,accepted,多次檢體／加重情節,5年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-two-sambo-athletes-have-been-sanctioned-with-a-5-and-3-year-period-of-ineligibility-respectively/
B01-22,"Murotov, Ozodbek",Uzbekistan,accepted,物質相關違規／及早承認,3年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-two-sambo-athletes-have-been-sanctioned-with-a-5-and-3-year-period-of-ineligibility-respectively/
B01-23,"Omirov, Dayanch",Turkmenistan,accepted,多次檢體／加重情節,6年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-kurash-athlete-dayanch-omirov-has-been-sanctioned-with-a-six-year-period-of-ineligibility/
B01-24,"Nihad, Nihad Fozail Oglu",Azerbaijan,accepted,物質相關違規,4年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-mma-athlete-nihad-fozail-oglu-nihad-has-been-sanctioned-with-a-four-year-period-of-ineligibility/
B01-25,"de Andrade Sigueira, Maicon",Brazil,accepted,行蹤義務違規,2年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。；名冊 Sigueira 與公告 Siqueira 為同一官方連結所指個案。,https://ita.sport/news/the-ita-reports-that-taekwondo-athlete-maicol-de-andrade-siqueira-receives-a-2-year-period-of-ineligibility/
B01-26,"Rasulov, Nurlan",Azerbaijan,accepted,物質相關違規／加重與減刑,5年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-weightlifter-nurlan-rasulov-has-accepted-a-5-year-ban-for-his-anti-doping-rule-violation/
B01-27,"Maciel Marcos, Vitória",Brazil,accepted,物質相關違規,2年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-athlete-vitoria-maciel-marcos-has-accepted-a-2-year-ban-for-her-anti-doping-rule-violation/
B01-28,"Herrera Malambo, Jean Carlos",Colombia,accepted,物質相關違規／及早承認,3年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。；名冊摘要仍為暫時禁賽，但詳細欄與新公告已為三年處分。,https://ita.sport/news/the-ita-reports-that-baseball-player-jean-carlos-herrera-malambo-has-been-sanctioned-with-a-3-year-period-of-ineligibility/
B01-29,"Yordanov, Plamen",Bulgaria,accepted,物質相關違規,4年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-sambo-athlete-plamen-yordanov-has-been-sanctioned-with-a-four-year-period-of-ineligibility/
B01-30,"Aasli, Ilyas",Morocco,accepted,大麻相關違規,2年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-ju-jitsu-athlete-ilyas-aasli-has-been-sanctioned-with-a-two-year-period-of-ineligibility/
B01-31,"Tatunashvili, Levan",Georgia,accepted,物質相關違規／及早承認,3年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-canoeist-levan-tatunashvili-has-been-sanctioned-with-a-3-year-period-of-ineligibility/
B01-32,"Pham, Dinh Thi",Vietnam,accepted,物質相關違規,2年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-weightlifter-dinh-thi-pham-has-accepted-a-2-year-ban-for-her-anti-doping-rule-violation/
B01-33,"Tseveensuren, Tsogbadrakh",Mongolia,accepted,物質相關違規／CAS ADD 裁決,4年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-acknowledges-the-cas-add-decision-sanctioning-wrestler-tsogbadrakh-tseveensuren/
B01-34,"Kentchadze, Avtandil",Georgia,accepted,物質相關違規,20個月,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-wrestler-avtandil-kentchadze-has-been-sanctioned-with-a-20-month-period-of-ineligibility/
B01-35,"Gapurov, Shokhrukhbek",Uzbekistan,accepted,物質相關違規／及早承認,3年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-sambo-athlete-shokhrukhbek-gapurov-has-accepted-a-3-year-ban-for-his-anti-doping-rule-violation/
B01-36,"Dajomes Barrera, Neisi Patricia",Ecuador,accepted,物質相關違規,14個月,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-weightlifter-neisi-patricia-dajomes-barrera-has-been-sanctioned-with-a-14-month-period-of-ineligibility/
B01-37,"Bernard, Cameron-Lie",France,accepted,行蹤義務違規,22個月,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-gymnast-cameron-lie-bernard-accepted-a-22-month-sanction-for-three-whereabouts-failures/
B01-38,"Drake Dominguez, Yadir",Cuba,accepted,物質相關違規,2年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-baseball-player-yadir-drake-dominguez-has-been-sanctioned-with-a-two-year-period-of-ineligibility/
B01-39,"De Leon, Anderson",Spain,accepted,多物質／加重情節,5年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-baseball-player-anderson-de-leon-has-been-sanctioned-with-a-5-year-period-of-ineligibility/
B01-40,"Vargas Rueda, Jose Andres",Mexico,accepted,大麻相關違規,3個月,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-wrestler-jose-andres-vargas-rueda-has-accepted-a-3-month-ban-for-his-anti-doping-rule-violation/
B01-41,"Bayona Pineda, Martha",Colombia,accepted,行蹤義務違規,18個月,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://www.uci.org/pressrelease/uci-statement-concerning-martha-bayona-pineda/1lVG810ExGkBop80wVieJ8
B01-42,"Sapunov, Danylo",Ukraine,accepted,禁賽期間參與活動,追加3年6個月,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-athlete-daniil-sapunov-has-accepted-a-3-5-year-ban-for-his-breach-of-anti-doping-rules/
B01-43,"Manarbek, Ibrahim",Kazakhstan,accepted,物質相關違規／及早承認,3年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-ju-jitsu-athlete-ibrahim-manarbek-has-accepted-a-3-year-sanction-for-his-anti-doping-rule-violation/
B01-44,"Pinto Gaspar, Pedro Afonso",Portugal,accepted,物質相關違規／已過上訴期限,3年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；官方公告明確記載上訴期限已過且無上訴；本案可標示該處分已終局。,https://ita.sport/news/the-ita-reports-that-triathlete-pedro-afonso-pinto-gaspar-has-accepted-a-3-year-sanction-for-his-adrv/
B01-45,"Tudela Chiozza, Miguel",Peru,held,日期差異待查,不計入通過數、不加入網站,個案公告與名冊對禁賽結束日（2025-08-16 或 17）及成績保留例外期間記載不同；需取得 CAS ADD 裁決核對。,https://ita.sport/news/the-ita-acknowledges-cas-add-decision-to-sanction-surfer-miguel-tudela-chiozza-with-16-months-of-ineligibility/
B01-46,"Lazeroff, Scott",United States,accepted,物質相關違規,14個月,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/the-ita-reports-that-high-diver-scott-lazeroff-has-accepted-a-14-months-ban-for-his-anti-doping-rule-violation/
B01-47,"Sciortino, Martti",Italy,accepted,物質相關違規,18個月,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://www.uci.org/pressrelease/uci-statement-concerning-martti-sciortino2/6LSIAEbHLYFbHiRMGN2Has
B01-48,"Costa, Vinicius Rangel",Brazil,accepted,行蹤義務違規,20個月,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://www.uci.org/pressrelease/uci-statement-concerning-vinicius-rangel-costa/2QNZgFdmqSwMSKg92jBxqj
B01-49,"Simmonds, Imogen Carlina",Switzerland,accepted,污染／違規成立但無過失,無禁賽（違規成立，無過失）,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://ita.sport/news/ironman-athlete-imogen-simmonds-accepts-a-finding-of-no-fault-for-her-anti-doping-rule-violation/
B01-50,Peter Bol,Australia,accepted,調查結束／未提出違規指控,無禁賽（該樣本不再推進違規程序）,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。,https://www.sportintegrity.gov.au/news/media-statements/2023-08/update-peter-bol-matter
B01-51,"Pryimachov, Oleh",Ukraine,accepted,行蹤義務違規,2年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。；網址的 4-year 字串過時；現行標題、內文與名冊均為兩年，並非未解決衝突。,https://ita.sport/news/the-ita-reports-that-muaythai-athlete-oleh-pryimachov-has-been-sanctioned-with-a-4-year-period-of-ineligibility/
B01-52,"Gulliver, Arran",United Kingdom,accepted,物質相關違規／非故意,2年,已閱讀官方個案公告；國籍以官方名冊或公告明示為據。；公告載有上訴權時，不推定已無上訴或已終局。；官方稱 SARMs 為 steroid 的字詞不沿用；未新增不必要藥理描述。,https://ita.sport/news/the-ita-reports-that-bobsleigh-athlete-arran-gulliver-has-been-sanctioned-with-a-2-year-period-of-ineligibility/
