id,athleteName,year,nationality,sport,reviewStatus,sourceLocator,sourceUrl
ita-06d43cb2bedd,Maicon de Andrade Siqueira,2025,巴西,跆拳道,core_checked,"de Andrade Sigueira, Maicon | Brazil | 13 July 2025",https://ita.sport/news/the-ita-reports-that-taekwondo-athlete-maicol-de-andrade-siqueira-receives-a-2-year-period-of-ineligibility/
ita-d7db49f1b2dd,Nurlan Rasulov,2025,亞塞拜然,舉重,core_checked,"Rasulov, Nurlan | Azerbaijan | 24 October 2025",https://ita.sport/news/the-ita-reports-that-weightlifter-nurlan-rasulov-has-accepted-a-5-year-ban-for-his-anti-doping-rule-violation/
ita-5f619325ade9,Vitória Maciel Marcos,2025,巴西,跆拳道,core_checked,"Maciel Marcos, Vitória | Brazil | 31 May 2025",https://ita.sport/news/the-ita-reports-that-athlete-vitoria-maciel-marcos-has-accepted-a-2-year-ban-for-her-anti-doping-rule-violation/
ita-1adba3098100,Jean Carlos Herrera Malambo,2025,哥倫比亞,棒球,core_checked,"Herrera Malambo, Jean Carlos | Colombia | 08 November 2025",https://ita.sport/news/the-ita-reports-that-baseball-player-jean-carlos-herrera-malambo-has-been-sanctioned-with-a-3-year-period-of-ineligibility/
ita-198c619f0668,Plamen Yordanov,2025,保加利亞,桑搏,core_checked,"Yordanov, Plamen | Bulgaria | 23 April 2025",https://ita.sport/news/the-ita-reports-that-sambo-athlete-plamen-yordanov-has-been-sanctioned-with-a-four-year-period-of-ineligibility/
ita-9eba591f99e3,Ilyas Aasli,2024,摩洛哥,柔術,core_checked,"Aasli, Ilyas | Morocco | 13 December 2024",https://ita.sport/news/the-ita-reports-that-ju-jitsu-athlete-ilyas-aasli-has-been-sanctioned-with-a-two-year-period-of-ineligibility/
ita-bb0170cfc7d7,Levan Tatunashvili,2025,喬治亞,輕艇,core_checked,"Tatunashvili, Levan | Georgia | 23 May 2025",https://ita.sport/news/the-ita-reports-that-canoeist-levan-tatunashvili-has-been-sanctioned-with-a-3-year-period-of-ineligibility/
ita-a2293b7b4dd2,Dinh Thi Pham,2025,越南,舉重,core_checked,"Pham, Dinh Thi | Vietnam | 05 July 2025",https://ita.sport/news/the-ita-reports-that-weightlifter-dinh-thi-pham-has-accepted-a-2-year-ban-for-her-anti-doping-rule-violation/
ita-4466be90e20a,Tsogbadrakh Tseveensuren,2025,蒙古,角力,core_checked,"Tseveensuren, Tsogbadrakh | Mongolia | 29 March 2025",https://ita.sport/news/the-ita-acknowledges-the-cas-add-decision-sanctioning-wrestler-tsogbadrakh-tseveensuren/
ita-33dbfad751c1,Avtandil Kentchadze,2024,喬治亞,角力,core_checked,"Kentchadze, Avtandil | Georgia | 31 October 2024 and 13 January 2025",https://ita.sport/news/the-ita-reports-that-wrestler-avtandil-kentchadze-has-been-sanctioned-with-a-20-month-period-of-ineligibility/
ita-19c95510831f,Shokhrukhbek Gapurov,2025,烏茲別克,桑搏,core_checked,"Gapurov, Shokhrukhbek | Uzbekistan | 21 September 2025",https://ita.sport/news/the-ita-reports-that-sambo-athlete-shokhrukhbek-gapurov-has-accepted-a-3-year-ban-for-his-anti-doping-rule-violation/
ita-c9475e60a3ed,Neisi Patricia Dajomes Barrera,2025,厄瓜多,舉重,core_checked,"Dajomes Barrera, Neisi Patricia | Ecuador | 7 April 2025",https://ita.sport/news/the-ita-reports-that-weightlifter-neisi-patricia-dajomes-barrera-has-been-sanctioned-with-a-14-month-period-of-ineligibility/
ita-bb6ebcfb3ce5,Cameron-Lie Bernard,2025,法國,體操,core_checked,"Bernard, Cameron-Lie | France | 26 June 2025",https://ita.sport/news/the-ita-reports-that-gymnast-cameron-lie-bernard-accepted-a-22-month-sanction-for-three-whereabouts-failures/
ita-260e332c1c14,Yadir Drake Dominguez,2024,古巴,棒球,core_checked,"Drake Dominguez, Yadir | Cuba | 17 November 2024",https://ita.sport/news/the-ita-reports-that-baseball-player-yadir-drake-dominguez-has-been-sanctioned-with-a-two-year-period-of-ineligibility/
ita-31e91f5916a4,Anderson De Leon,2025,西班牙,棒球,core_checked,"De Leon, Anderson | Spain | 23 February 2025",https://ita.sport/news/the-ita-reports-that-baseball-player-anderson-de-leon-has-been-sanctioned-with-a-5-year-period-of-ineligibility/
ita-9ade5d350db5,Jose Andres Vargas Rueda,2025,墨西哥,角力,core_checked,"Vargas Rueda, Jose Andres | Mexico | 13 May 2025",https://ita.sport/news/the-ita-reports-that-wrestler-jose-andres-vargas-rueda-has-accepted-a-3-month-ban-for-his-anti-doping-rule-violation/
ita-cfefdacd2d92,Martha Bayona Pineda,2024,哥倫比亞,自行車,core_checked,"Bayona Pineda, Martha | Colombia | 05/12/2024",https://www.uci.org/pressrelease/uci-statement-concerning-martha-bayona-pineda/1lVG810ExGkBop80wVieJ8
ita-0252ec50e841,Daniil Sapunov,2025,烏克蘭,鐵人三項,core_checked,"Sapunov, Danylo | Ukraine | N/A",https://ita.sport/news/the-ita-reports-that-athlete-daniil-sapunov-has-accepted-a-3-5-year-ban-for-his-breach-of-anti-doping-rules/
ita-193d52584f41,Ibrahim Manarbek,2024,哈薩克,柔術,core_checked,"Manarbek, Ibrahim | Kazakhstan | 30 October 2024",https://ita.sport/news/the-ita-reports-that-ju-jitsu-athlete-ibrahim-manarbek-has-accepted-a-3-year-sanction-for-his-anti-doping-rule-violation/
ita-3925ae12ac5d,Pedro Afonso Pinto Gaspar,2025,葡萄牙,鐵人三項,core_checked,"Pinto Gaspar, Pedro Afonso | Portugal | 29 June 2025",https://ita.sport/news/the-ita-reports-that-triathlete-pedro-afonso-pinto-gaspar-has-accepted-a-3-year-sanction-for-his-adrv/
ita-c0175e15bb03,Scott Lazeroff,2025,美國,水上運動,core_checked,"Lazeroff, Scott | United States | 27 July 2025",https://ita.sport/news/the-ita-reports-that-high-diver-scott-lazeroff-has-accepted-a-14-months-ban-for-his-anti-doping-rule-violation/
ita-2f8626bf852a,Martti Sciortino,2025,義大利,自行車,core_checked,"Sciortino, Martti | Italy | 24/05/2025",https://www.uci.org/pressrelease/uci-statement-concerning-martti-sciortino2/6LSIAEbHLYFbHiRMGN2Has
ita-5c094a50f6e6,Vinicius Rangel Costa,2025,巴西,自行車,core_checked,"Costa, Vinicius Rangel | Brazil | 23/03/2025",https://www.uci.org/pressrelease/uci-statement-concerning-vinicius-rangel-costa/2QNZgFdmqSwMSKg92jBxqj
ita-7633257bebb2,Imogen Carlina Simmonds,2024,瑞士,鐵人三項,core_checked,"Simmonds, Imogen Carlina | Switzerland | 8 December 2024",https://ita.sport/news/ironman-athlete-imogen-simmonds-accepts-a-finding-of-no-fault-for-her-anti-doping-rule-violation/
sia-peter-bol-2023,Peter Bol,2023,澳洲,田徑,core_checked,2023-08-01 Update on Peter Bol matter,https://www.sportintegrity.gov.au/news/media-statements/2023-08/update-peter-bol-matter
ita-5e7e6ea76e46,Oleh Pryimachov,2024,烏克蘭,泰拳,core_checked,"Pryimachov, Oleh | Ukraine | 22 February 2024",https://ita.sport/news/the-ita-reports-that-muaythai-athlete-oleh-pryimachov-has-been-sanctioned-with-a-4-year-period-of-ineligibility/
ita-671290710875,Arran Gulliver,2025,英國,雪車,core_checked,"Gulliver, Arran | United Kingdom | 2 March 2025",https://ita.sport/news/the-ita-reports-that-bobsleigh-athlete-arran-gulliver-has-been-sanctioned-with-a-2-year-period-of-ineligibility/
ita-cd4ff5268813,Lucky Joseph,2026,奈及利亞,舉重,core_checked,The ITA reports that weightlifter Lucky Joseph has been sanctioned with a 4-year ban for his anti-doping rule violation：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-reports-that-weightlifter-lucky-joseph-has-been-sanctioned-with-a-4-year-ban-for-his-anti-doping-rule-violation/
ita-51c526c62685,Aidyn Tolepbayev,2024,哈薩克,綜合格鬥,core_checked,The ITA reports that MMA athlete Aidyn Tolepbayev has been sanctioned with a four-year period of ineligibility：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-reports-that-mma-athlete-aidyn-tolepbayev-has-been-sanctioned-with-a-four-year-period-of-ineligibility/
ita-097e950d5957,Mazhit Sardarov,2024,哈薩克,綜合格鬥,core_checked,The ITA reports that MMA athlete Mazhit Sardarov has been sanctioned with a four-year period of ineligibility：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-reports-that-mma-athlete-mazhit-sardarov-has-been-sanctioned-with-a-four-year-period-of-ineligibility/
ita-03eeb52b0fd1,Khakimjon Ismoilov,2025,烏茲別克,桑搏,core_checked,The ITA reports that sambo athlete Khakimjon Ismoilov has accepted a 2-year ban for his anti-doping rule violation：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-reports-that-sambo-athlete-khakimjon-ismoilov-has-accepted-a-2-year-ban-for-his-anti-doping-rule-violation/
ita-189277da5c1a,Mauro Gabriel Gomez,2024,阿根廷,綜合格鬥,core_checked,The ITA reports that Mixed Martial Arts athlete Mauro Gabriel Gómez has been sanctioned with a 2-year period of ineligibility：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-reports-that-mixed-martial-arts-athlete-mauro-gabriel-gomez-has-been-sanctioned-with-a-2-year-period-of-ineligibility/
ita-55fa8485fa30,Qasim Hasan Abdulhussein Al-Lami,2024,伊拉克,舉重,core_checked,The ITA reports that Weightlifter Qasim Hasan Abdulhussein Al-Lami has accepted a 7-year sanction for his adrv：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-reports-that-weightlifter-qasim-hasan-abdulhussein-al-lami-has-accepted-a-7-year-sanction-for-his-adrv/
ita-fa8d36509836,Petru Buzdugan,2024,摩爾多瓦,綜合格鬥,core_checked,The ITA reports that Mixed Martial Arts athlete Petru Buzdugan has been sanctioned with a 4-year period of ineligibility：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-reports-that-mixed-martial-arts-athlete-petru-buzdugan-has-been-sanctioned-with-a-4-year-period-of-ineligibility/
ita-64356cd7cd2b,Artyom Proskuryakov,2025,亞塞拜然,自行車,core_checked,UCI statement concerning Artyom Proskuryakov：個案公告導言、採樣／違規段、處分期間段及程序說明,https://www.uci.org/pressrelease/uci-statement-concerning-artyom-proskuryakov2/6rmgpqNMFtp8d7qxDTt8My
ita-ce72c7ec15a5,Khatthamarasri Anueng,2022,泰國,泰拳,core_checked,The ITA reports that Muaythai athlete Khatthamarasri Anueng has been sanctioned with a 3-year period of ineligibility：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-reports-that-muaythai-athlete-khatthamarasri-anueng-has-been-sanctioned-with-a-3-year-period-of-ineligibility/
ita-746841ced247,Ricardo Bachir,2023,黎巴嫩,綜合格鬥,core_checked,The ITA reports that Mixed Martial Arts athlete Ricardo Bachir has been sanctioned with a 4-year period of ineligibility：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-reports-that-mixed-martial-arts-athlete-ricardo-bachir-has-been-sanctioned-with-a-4-year-period-of-ineligibility/
ita-e79063f8345e,Revaz Davitadze,2023,喬治亞,舉重,core_checked,The ITA acknowledges the CAS awards sanctioning weightlifters Revaz Davitadze and Gurami Giorbelidze：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-acknowledges-the-cas-awards-sanctioning-weightlifters-revaz-davitadze-and-gurami-giorbelidze/
ita-04f56ae4f842,Alexandru Spac,2016,摩爾多瓦,舉重,core_checked,The ITA reports that weightlifter Alexandru Spac has accepted a 7-year period of ineligibility for his ADRV：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-reports-that-weightlifter-alexandru-spac-has-accepted-a-7-year-period-of-ineligibility-for-his-adrv/
ita-88498e611484,Madeleine Egle,2023,奧地利,雪橇,core_checked,ITA：Madeleine Egle 接受二十個月行蹤申報違規處分：個案公告全文：導言、三次行蹤紀錄、接受後果、期間與上訴段落,https://ita.sport/news/the-ita-reports-that-luger-madeleine-egle-accepted-a-20-month-sanction-for-three-whereabouts-failures/
ita-279e2718f2fd,Andrey Pokatilov,2015,俄羅斯,舉重,core_checked,"The ITA reports that weightlifter Andrey Pokatilov was sanctioned based on WADA investigation, McLaren report and LIMS data：個案公告導言、採樣／違規段、處分期間段及程序說明",https://ita.sport/news/the-ita-reports-that-weightlifter-andrey-pokatilov-was-sanctioned-based-on-wada-investigation-mclaren-report-and-lims-data/
ita-d8c0202bcd03,Otylia Marczuk,2024,波蘭,自行車,core_checked,UCI statement concerning Otylia Marczuk：個案公告導言、採樣／違規段、處分期間段及程序說明,https://www.uci.org/pressrelease/uci-statement-concerning-otylia-marczuk/7kZ0sB0iFADx1c2jxvjF1p
ita-825ba0518559,Baqer Idrees,2023,伊拉克,鐵人三項,core_checked,The ITA reports that triathlete Baqer Idrees has been sanctioned with a 2-year period of ineligibility：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-reports-that-triathlete-baqer-idrees-has-been-sanctioned-with-a-2-year-period-of-ineligibility/
ita-1e63725a68a7,Simon Wulff,2024,德國,雪車,core_checked,German Bobsleigh athlete Simon Wulff has been sanctioned with a 21-month period of ineligibility：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/german-bobsleigh-athlete-simon-wulff-has-been-sanctioned-with-a-21-month-period-of-ineligibility/
ita-c8d8f0244027,Zhanela Nabiyeva,2025,哈薩克,桑搏,core_checked,The ITA reports that sambo athlete Zhanela Nabiyeva has accepted a 2-year ban for her anti-doping rule violation：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-reports-that-sambo-athlete-zhanela-nabiyeva-has-accepted-a-2-year-ban-for-her-anti-doping-rule-violation/
ita-b7c414fb2d50,Louis Wayne Loic Gael Martinson,2025,模里西斯,舉重,core_checked,The ITA reports that weightlifter Louis Wayne Loic Gael Martinson has accepted a 3 year ban for his ADRV：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-reports-that-weightlifter-louis-wayne-loic-gael-martinson-has-accepted-a-3-year-ban-for-his-adrv/
ita-a3e679811edf,Vanessa Sarno,2025,菲律賓,舉重,core_checked,The ITA reports that weightlifter Vanessa Sarno accepted a 2-year sanction for three whereabouts failures：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-reports-that-weightlifter-vanessa-sarno-accepted-a-2-year-sanction-for-three-whereabouts-failures/
ita-1aa44e921acb,Tuğrulhan Erdemir,2024,土耳其,拳擊,core_checked,CAS confirms two-year ban imposed on turkish boxer Tuğrulhan Erdemir：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/cas-confirms-two-year-ban-imposed-on-turkish-boxer-tugrulhan-erdemir/
ita-790fc95712eb,Adnan Zaki,2024,敘利亞,鐵人三項,core_checked,The ITA reports that triathlete Adnan Zaki accepted a 2-year period of ineligibility for his anti-doping rule violation：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-reports-that-triathlete-adnan-zaki-accepted-a-2-year-period-of-ineligibility-for-his-anti-doping-rule-violation/
ita-cbcebbfdd45b,Antwan Tolhoek,2023,荷蘭,自行車,core_checked,UCI statement concerning Antwan Tolhoek：個案公告導言、採樣／違規段、處分期間段及程序說明,https://www.uci.org/pressrelease/uci-statement-concerning-antwan-tolhoek1/7smBeq7cWIpWUNwt2m26XI
ita-e480a4db0b21,Penelope Oleksiak,2025,加拿大,游泳,core_checked,The ITA reports that swimmer Penelope Oleksiak accepted a two-year sanction for three whereabouts failures：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-reports-that-swimmer-penelope-oleksiak-accepted-a-two-year-sanction-for-three-whereabouts-failures/
ita-988542cf0fbe,Shania Sophia Bedward,2024,加拿大,舉重,core_checked,The ITA reports that weightlifter Shania Sophia Bedward accepted a 2-year ban for her anti-doping rule violation：個案公告導言、採樣／違規段、處分期間段及程序說明,https://ita.sport/news/the-ita-reports-that-weightlifter-shania-sophia-bedward-accepted-a-2-year-ban-for-her-anti-doping-rule-violation/
ita-2d3933d307ee,Dae Hee Kwon,2025,韓國,舉重,core_checked,The ITA reports that weightlifter Dae Hee Kwon accepted a 3-year ban for his anti-doping rule violation：完整個案公告：身分／事件段、處分起訖與成績段、程序更新段,https://ita.sport/news/the-ita-reports-that-weightlifter-dae-hee-kwon-accepted-a-3-year-ban-for-his-anti-doping-rule-violation/
ita-46228f83daa9,Erkin Kozokov,2024,烏茲別克,庫拉什,core_checked,The ITA reports that Kurash athlete Erkin Kozokov accepted a 3 year ban for his anti-doping rule violation：完整個案公告：身分／事件段、處分起訖與成績段、程序更新段,https://ita.sport/news/the-ita-reports-that-kurash-athlete-erkin-kozokov-accepted-a-3-year-ban-for-his-anti-doping-rule-violation/
ita-dbea69b05e29,Chrístos Volikákis,2016,希臘,自行車,core_checked,UCI statement concerning Christos Volikákis：完整個案公告：身分／事件段、處分起訖與成績段、程序更新段,https://www.uci.org/pressrelease/uci-statement-concerning-christos-volikakis/574JoP2UHTw9lzDewKJM1P
ita-ba3a3cc60785,Fouad Ambelj,2024,奧地利,霹靂舞,core_checked,The ITA reports that dancer Fouad Ambelj (B-boy Lil Zoo) has been sanctioned with a 4-year period of ineligibility：完整個案公告：身分／事件段、處分起訖與成績段、程序更新段,https://ita.sport/news/the-ita-reports-that-dancer-fouad-ambelj-b-boy-lil-zoo-has-been-sanctioned-with-a-4-year-period-of-ineligibility/
ita-562db85b2505,Dilnoza Fayzullaeva,2024,烏茲別克,舉重,core_checked,The ITA reports that weightlifter Dilnoza Fayzullaeva has accepted a 2-year period of ineligibility：完整個案公告：身分／事件段、處分起訖與成績段、程序更新段,https://ita.sport/news/the-ita-reports-that-weightlifter-dilnoza-fayzullaeva-has-accepted-a-2-year-period-of-ineligibility/
ita-e2df476c812d,Eugene Kim Park,2023,關島,高爾夫,core_checked,The ITA reports that Golf player Eugene Kim Park has been sanctioned with a 4-year period of ineligibility：完整個案公告：身分／事件段、處分起訖與成績段、程序更新段,https://ita.sport/news/the-ita-reports-that-golf-player-eugene-kim-park-has-been-sanctioned-with-a-4-year-period-of-ineligibility/
